transaction_id,timestamp,store_id,sku,sku_name,quantity,price
7bd065cd-e949-40c3-a71e-be9596a1efa7,2026-01-03T05:24:23,STR-027,SKU-10011,Bed Sheet Set,5,62.67
88703550-1d0e-44ed-9d9b-71f159622fe4,2026-01-03T19:44:15,STR-017,SKU-10006,Sports Socks,8,8.94
d6016876-b69d-48f9-9910-4a94ffdaa9ea,2026-01-03T04:52:11,STR-014,SKU-10013,Water Bottle,6,18.82
d1ed49fb-4ad4-4006-aa29-852ec06cc8a6,2026-01-03T19:37:51,STR-014,SKU-10015,Scented Candle,1,13.51
4ef68ab4-7f39-4c07-9a2d-f934964d5a9f,2026-01-03T05:56:03,STR-011,SKU-10010,Backpack,2,57.56
8609ce48-f50a-4ae0-b4de-deb05b6fb334,2026-01-03T22:11:25,STR-018,SKU-10015,Scented Candle,1,14.87
78c1f59e-1d7d-4e4e-836e-2126c1482dd0,2026-01-03T05:25:06,STR-007,SKU-10014,Throw Pillow,5,23.92
75370f88-fe72-4e80-ad31-3f684437fb86,2026-01-03T07:21:59,STR-006,SKU-10002,Denim Jeans,2,49.74
3bf97b8a-7ae3-464a-b0ba-7459a643b4b8,2026-01-03T01:25:52,STR-017,SKU-10014,Throw Pillow,3,23.16
30b270ae-defd-4213-8c0e-dfb2b5804f63,2026-01-03T15:09:57,STR-025,SKU-10012,Desk Lamp,2,40.11
f51a170f-e1f1-4d9a-a1af-df9349bbdf6b,2026-01-03T03:37:56,STR-020,SKU-10006,Sports Socks,1,7.91
1f5ec4df-aef7-4bce-b206-3c6f9684c9d0,2026-01-03T01:13:03,STR-015,SKU-10004,Winter Jacket,8,133.49
d4902568-2b57-4293-bdc3-eedbc1759fd3,2026-01-03T00:23:14,STR-024,SKU-10015,Scented Candle,6,13.08
7417c86c-c744-4575-b4bf-9e841d098f5b,2026-01-03T04:38:37,STR-022,SKU-10002,Denim Jeans,8,42.52
0f46db59-21f5-44f3-ad73-a9e0f1022613,2026-01-03T02:25:59,STR-016,SKU-10009,Bluetooth Speaker,7,37.61
a3ac2fff-c5c5-4111-9d8e-7abd38637865,2026-01-03T21:42:31,STR-025,SKU-10013,Water Bottle,3,17.34
b9f033a1-82ff-4d22-82b7-bf2fd6fc17a6,2026-01-03T04:09:22,STR-010,SKU-10006,Sports Socks,1,9.32
3cd7e7e2-a2b7-4244-9a83-d4068cc37807,2026-01-03T00:46:42,STR-003,SKU-10013,Water Bottle,6,22.75
73f896ac-1c1d-4424-b3e7-528612616a06,2026-01-03T06:32:19,STR-026,SKU-10001,Cotton T-Shirt,4,14.56
8d716ac2-e47d-4e07-9019-172fa1b99d3a,2026-01-03T03:19:43,STR-001,SKU-10008,Ceramic Mug,1,8.79
d39c8855-1358-471e-ba25-b729d6503186,2026-01-03T17:25:13,STR-005,SKU-10009,Bluetooth Speaker,3,47.85
d670f96c-2713-4285-8088-341fbfb0ed8e,2026-01-03T16:32:19,STR-006,SKU-10011,Bed Sheet Set,8,80.63
44c5aff2-9bba-43d3-96ff-27e5d509b3b2,2026-01-03T08:32:04,STR-029,SKU-10013,Water Bottle,6,21.78
9b4b08f8-4a7f-4837-b68f-02d30d842c66,2026-01-03T21:12:06,STR-020,SKU-10014,Throw Pillow,8,23.32
bf81c490-038c-4f63-bc5e-f897c5b86f63,2026-01-03T07:29:51,STR-016,SKU-10008,Ceramic Mug,2,9.56
396f8791-d806-4ffe-bad9-a9d1ce738d78,2026-01-03T00:31:48,STR-022,SKU-10003,Running Shoes,3,101.41
9f7ca1f3-5a33-4ddb-a208-a1fdcc471280,2026-01-03T06:46:00,STR-007,SKU-10004,Winter Jacket,3,121.62
85d2117f-6d72-47e8-92ac-03bf07ad529c,2026-01-03T10:59:46,STR-013,SKU-10013,Water Bottle,4,22.08
9325c79e-4f46-4fa9-b178-1930ce54305e,2026-01-03T19:30:00,STR-030,SKU-10001,Cotton T-Shirt,4,15.42
