transaction_id,timestamp,store_id,sku,sku_name,quantity,price
c51d2782-8031-47f0-9588-25b4d78d6ca4,2026-01-02T08:26:43,STR-030,SKU-10007,Kitchen Towel Set,6,13.07
2a5a85fd-9807-4b57-a5d7-249d098afedf,2026-01-02T01:32:59,STR-024,SKU-10001,Cotton T-Shirt,3,17.63
c4fa875b-54bb-4302-b54a-124a04cef724,2026-01-02T04:59:23,STR-020,SKU-10008,Ceramic Mug,2,10.05
7ff18ce1-59b0-4ce3-ac03-7bd6739d2195,2026-01-02T04:31:42,STR-004,SKU-10005,Leather Belt,3,22.20
8cf0492f-c548-486a-8773-c6fcdd1d440e,2026-01-02T22:12:44,STR-002,SKU-10003,Running Shoes,6,92.93
c978e764-ac43-46e4-ace7-b74781961948,2026-01-02T18:19:35,STR-010,SKU-10015,Scented Candle,2,13.69
0929eab5-e767-47f6-9d08-23653cbbd03c,2026-01-02T14:13:43,STR-021,SKU-10004,Winter Jacket,3,127.56
24d35b16-5218-440f-a8d6-9d7a875db1af,2026-01-01T13:48:25,STR-016,SKU-10014,Throw Pillow,8,150.02
08b35ec0-1e06-45bc-ad75-350cfeba74aa,2026-01-02T02:30:38,STR-024,SKU-10009,Bluetooth Speaker,3,42.72
71f4684a-62b8-43ee-8d1c-54be7326565b,2026-01-02T04:39:39,STR-004,SKU-10015,Scented Candle,4,13.52
0978afc3-c5fc-48aa-95a2-18efecc9093f,2026-01-02T05:57:38,STR-005,SKU-10006,Sports Socks,3,9.38
c8e621ef-6ced-40e7-b435-c15f188b2349,2026-01-02T04:25:42,STR-003,SKU-10004,Winter Jacket,5,153.03
f3afa2f1-c4b1-4ad2-989e-85929b31f1ff,2026-01-02T08:11:02,STR-003,SKU-10014,Throw Pillow,2,22.46
dd12f3bb-7f94-4477-9b70-5121b8948770,2026-01-02T17:35:25,STR-027,SKU-10005,Leather Belt,8,26.75
04fa45b1-a2c0-4999-9229-7a1a92840f76,2026-01-02T00:18:39,STR-009,SKU-10014,Throw Pillow,4,20.17
b7569a79-158e-4afe-a04a-3a3bc9932895,2026-01-02T06:19:58,STR-001,SKU-10014,Throw Pillow,7,24.86
59e80ac9-e230-48ca-b7b8-e088bced0a6d,2026-01-02T08:22:25,STR-019,SKU-10006,Sports Socks,6,9.23
