transaction_id,timestamp,store_id,sku,sku_name,quantity,price
297f2fe2-9225-4299-bbe2-ef78845cec60,2026-01-01T04:24:15,STR-002,SKU-10014,Throw Pillow,4,21.47
4d6553b9-d5b2-4fda-abfc-d3ac5b074e33,2026-01-01T21:20:12,STR-008,SKU-10010,Backpack,8,61.67
2c176e0d-343f-4170-b30d-e9840ebe8781,2026-01-01T14:01:09,STR-004,SKU-10009,Bluetooth Speaker,5,34.84
4a548011-27b3-4d4c-8f78-94e50adc02ce,2026-01-01T20:08:18,STR-014,SKU-10008,Ceramic Mug,2,10.18
8b8f67af-ecd1-42a3-b9e4-06a9dd52c73a,2026-01-01T23:03:59,STR-008,SKU-10007,Kitchen Towel Set,1,11.32
cc552924-e900-496d-bf86-69ed99e1eeaf,2026-01-01T03:41:45,STR-008,SKU-10010,Backpack,3,57.39
50288655-e345-4357-962b-9a902e5e7d2e,2026-01-01T16:14:15,STR-003,SKU-10007,Kitchen Towel Set,4,13.48
a0979c3e-1e31-4676-a248-b8f785ce4e8f,2026-01-01T13:35:29,STR-018,SKU-10003,Running Shoes,3,101.12
56610fbf-a45a-4419-bc36-ab0e3fef2b87,2026-01-01T15:25:42,STR-030,SKU-10009,Bluetooth Speaker,8,34.58
77cf11a8-cdb3-4923-9380-080b8e7ae633,2026-01-01T16:55:02,STR-027,SKU-10014,Throw Pillow,5,24.80
5052c991-dfa2-48ee-a106-163c6e1757f9,2026-01-01T00:01:11,STR-002,SKU-10003,Running Shoes,8,85.10
9dfcba0d-f934-44c3-a17e-93193ebd7eb8,2026-01-01T13:50:27,STR-012,SKU-10005,Leather Belt,4,26.36
8ee436ba-d8de-4250-9eb9-9ae484b7fea6,2026-01-01T10:14:32,STR-002,SKU-10009,Bluetooth Speaker,3,44.34
67bc7907-2901-48b3-8d69-da3e657d3a21,2026-01-01T02:32:46,STR-010,SKU-10010,Backpack,2,59.29
4cf66b47-b81d-42f3-a3aa-7ad9533ceb28,2026-01-01T05:05:04,STR-024,SKU-10002,Denim Jeans,5,57.86
